"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"1" "AMY" "hsa04151" "PI3K-Akt signaling pathway" "5/17" "354/8159" 0.000600280817275422 0.0320717406137172 0.0243820250279721 "7422/5649/1436/3481/3082" 5
"2" "AMY" "hsa04014" "Ras signaling pathway" "4/17" "235/8159" 0.00118784224495249 0.0320717406137172 0.0243820250279721 "7422/1436/3481/3082" 4
"3" "AMY" "hsa04010" "MAPK signaling pathway" "4/17" "294/8159" 0.0027103973612329 0.0487871525021921 0.0370896481010817 "7422/1436/3481/3082" 4
"4" "CC" "hsa04512" "ECM-receptor interaction" "6/52" "88/8159" 1.81276293287323e-05 0.00221157077810533 0.00192725322337048 "1277/7450/1278/6385/284217/3371" 6
"5" "CC" "hsa05165" "Human papillomavirus infection" "9/52" "331/8159" 0.000209821033042754 0.012799083015608 0.0111536443880622 "3280/1277/7450/1278/4853/284217/388585/3371/6934" 9
"6" "CC" "hsa04933" "AGE-RAGE signaling pathway in diabetic complications" "5/52" "100/8159" 0.000411870292561034 0.0167493918974821 0.0145961051047945 "1277/1278/7412/6347/1906" 5
"7" "CC" "hsa04978" "Mineral absorption" "4/52" "60/8159" 0.000549709467038906 0.0167661387446866 0.0146106989923499 "4494/4495/4493/4501" 4
"8" "CC" "hsa04151" "PI3K-Akt signaling pathway" "8/52" "354/8159" 0.00163797173502033 0.0371030981980678 0.0323331571872722 "1902/1277/7450/1278/2846/284217/3371/10971" 8
"9" "CC" "hsa05418" "Fluid shear stress and atherosclerosis" "5/52" "139/8159" 0.0018247425343312 0.0371030981980678 0.0323331571872722 "6385/7412/6347/1906/658" 5
"10" "FC" "hsa04540" "Gap junction" "9/160" "88/8159" 5.20506169203294e-05 0.00508710015269053 0.00467414197794045 "983/7277/2697/3356/3358/7280/5579/84790/7846" 9
"11" "FC" "hsa05322" "Systemic lupus erythematosus" "11/160" "136/8159" 6.89399840756946e-05 0.00508710015269053 0.00467414197794045 "3018/8335/8350/8347/8352/8342/8360/8359/85235/8354/718" 11
"12" "FC" "hsa04080" "Neuroactive ligand-receptor interaction" "19/160" "362/8159" 8.0376833121959e-05 0.00508710015269053 0.00467414197794045 "1910/6750/1392/2554/6863/10874/7432/84539/3356/3358/2897/2846/2566/6754/6866/116/1901/718/885" 19
"13" "FC" "hsa04613" "Neutrophil extracellular trap formation" "13/160" "190/8159" 8.62220364862802e-05 0.00508710015269053 0.00467414197794045 "293/3018/8335/8350/8347/8352/8342/8360/8359/85235/8354/5579/718" 13
"14" "FC" "hsa04110" "Cell cycle" "10/160" "126/8159" 0.00017358117166589 0.00819303130262999 0.00752794133961542 "983/9133/5347/9232/991/890/1017/990/699/7272" 10
"15" "FC" "hsa05034" "Alcoholism" "12/160" "187/8159" 0.000295254439285426 0.0116133412785601 0.0106705990338242 "1392/3018/8335/8350/8347/8352/8342/8360/8359/85235/8354/2785" 12
"16" "FC" "hsa05033" "Nicotine addiction" "5/160" "40/8159" 0.00102948557752341 0.0347083708993607 0.0318908314240335 "2554/140679/246213/57084/2566" 5
"17" "HIP" "hsa05322" "Systemic lupus erythematosus" "15/129" "136/8159" 2.91300914728704e-09 5.21678213134936e-07 4.85577674019361e-07 "8359/8350/8356/85235/8352/8360/8335/8366/8342/8357/8347/730/8332/3018/8354" 15
"18" "HIP" "hsa05034" "Alcoholism" "17/129" "187/8159" 4.83035382532348e-09 5.21678213134936e-07 4.85577674019361e-07 "8359/8350/8356/85235/8352/8360/8335/8366/8342/8357/8347/8332/3018/8354/64764/2354/84152" 17
"19" "HIP" "hsa04613" "Neutrophil extracellular trap formation" "15/129" "190/8159" 2.70211839589626e-07 1.94552524504531e-05 1.81089338110943e-05 "8359/8350/8356/85235/8352/8360/8335/8366/8342/8357/8347/8332/3018/8354/5579" 15
"20" "OC" "hsa05322" "Systemic lupus erythematosus" "16/113" "136/8159" 4.09958018794832e-11 8.07617297025819e-09 7.72447214360789e-09 "3018/8359/8347/85235/8350/8342/8356/8360/8352/8335/128312/8330/8366/8357/8354/8332" 16
"21" "OC" "hsa05034" "Alcoholism" "16/113" "187/8159" 4.84312972793575e-09 4.00726041855609e-07 3.83275241742741e-07 "3018/8359/8347/85235/8350/8342/8356/8360/8352/8335/128312/8330/8366/8357/8354/8332" 16
"22" "OC" "hsa04613" "Neutrophil extracellular trap formation" "16/113" "190/8159" 6.10242703333415e-09 4.00726041855609e-07 3.83275241742741e-07 "3018/8359/8347/85235/8350/8342/8356/8360/8352/8335/128312/8330/8366/8357/8354/8332" 16
"23" "OC" "hsa04110" "Cell cycle" "11/113" "126/8159" 1.17786802442597e-06 5.80100002029791e-05 5.54837832558549e-05 "4085/991/990/9133/983/891/890/1017/8318/8556/9232" 11
"24" "OC" "hsa05203" "Viral carcinogenesis" "11/113" "204/8159" 0.000113965504614022 0.00449024088179247 0.00429470006861262 "3018/8359/8347/991/8342/8360/983/890/128312/8366/1017" 11
"25" "OC" "hsa04114" "Oocyte meiosis" "8/113" "131/8159" 0.000444220297388446 0.0145852330975873 0.0139500760057073 "4085/991/9133/983/891/151648/1017/9232" 8
"26" "PL" "hsa05322" "Systemic lupus erythematosus" "14/167" "136/8159" 6.40257615709638e-07 0.000169668268163054 0.000147596229305695 "8352/718/3122/8342/8354/3018/714/8368/8358/3113/8332/8343/8347/8330" 14
"27" "PL" "hsa04613" "Neutrophil extracellular trap formation" "16/167" "190/8159" 1.52400260941172e-06 0.000201930345747053 0.000175661353400614 "8352/718/8342/8354/8503/1536/3018/8368/8358/6404/8332/8343/8347/8330/7099/5332" 16
"28" "PL" "hsa04971" "Gastric acid secretion" "9/167" "76/8159" 2.23511515581227e-05 0.0019743517209675 0.00171750954078206 "482/6750/3766/815/477/760/7430/3773/5332" 9
"29" "PL" "hsa04024" "cAMP signaling pathway" "15/167" "221/8159" 4.40645753529221e-05 0.00245376094717086 0.00213455272067693 "7432/482/2737/2353/6750/6662/5348/815/8503/477/10398/11069/1392/116/51196" 15
